Sample.date,sampling.week,sampling.week.end,treatment,Heated,Invasion,Mesocosm,rep,A_TotalAlgae,A_Green,A_Cyanobacteria,A_Chromophytes,A_Cryptophytes
11/08/20,12,13,C,N,N,2,1,23.25,14.61,7.66,0.98,0
11/08/20,12,13,C,N,N,7,2,5.9,2.38,2.56,0.96,0
11/08/20,12,13,C,N,N,13,3,8.79,7.13,1.2,0.45,0
11/08/20,12,13,C,N,N,17,4,66.77,66.77,0,0,0
11/08/20,12,13,C,N,N,21,5,15.85,13.4,0.96,1.49,0
11/08/20,12,13,C,N,N,24,6,4.09,1.39,2.41,0.29,0
18/08/20,13,14,C,N,N,2,1,25.6,8.74,10.68,6.17,0
18/08/20,13,14,C,N,N,7,2,5.58,2.93,2.1,0.55,0
18/08/20,13,14,C,N,N,13,3,9.19,7.96,1.07,0.16,0
18/08/20,13,14,C,N,N,17,4,95.91,95.91,0,0,0
18/08/20,13,14,C,N,N,21,5,7.42,4.73,1.7,0.99,0
18/08/20,13,14,C,N,N,24,6,3.53,1.68,1.65,0.2,0
25/08/20,14,15,C,N,N,2,1,15.74,13.78,1.96,0,0
25/08/20,14,15,C,N,N,7,2,8.59,4.37,3.52,0.69,0
25/08/20,14,15,C,N,N,13,3,8.99,7.03,1.74,0.22,0
25/08/20,14,15,C,N,N,17,4,83.36,83.36,0,0,0
25/08/20,14,15,C,N,N,21,5,11.75,8.49,2.72,0.54,0
25/08/20,14,15,C,N,N,24,6,5.2,2.27,1.91,1,0.02
1/09/20,15,16,C,N,N,2,1,18.12,7.5,7.38,3.25,0
1/09/20,15,16,C,N,N,7,2,10.37,5.59,4.67,0.12,0
1/09/20,15,16,C,N,N,13,3,11.02,9.18,1.71,0.13,0
1/09/20,15,16,C,N,N,17,4,53.03,53.03,0,0,0
1/09/20,15,16,C,N,N,21,5,17.89,14.7,3.19,0,0
1/09/20,15,16,C,N,N,24,6,5.54,3.47,1.68,0.39,0
8/09/20,16,17,C,N,N,2,1,6.79,3.84,0,2.94,0
8/09/20,16,17,C,N,N,7,2,8.68,4.79,3.82,0.07,0
8/09/20,16,17,C,N,N,13,3,5.55,3.13,2.12,0.3,0
8/09/20,16,17,C,N,N,17,4,70.73,70.73,0,0,0
8/09/20,16,17,C,N,N,21,5,12.67,10.08,2.44,0.15,0
8/09/20,16,17,C,N,N,24,6,2.83,0.91,1.55,0.37,0
15/09/20,17,18,C,N,N,2,1,11.13,4.74,3.22,3.17,0
15/09/20,17,18,C,N,N,7,2,8.42,4.32,3.88,0.22,0
15/09/20,17,18,C,N,N,13,3,2.23,0.6,1.32,0.31,0
15/09/20,17,18,C,N,N,17,4,67.32,67.32,0,0,0
15/09/20,17,18,C,N,N,21,5,8.31,5.85,2.08,0.39,0
15/09/20,17,18,C,N,N,24,6,2.68,1.18,1.21,0.29,0
22/09/20,18,19,C,N,N,2,1,11.72,5.4,3.57,2.75,0
22/09/20,18,19,C,N,N,7,2,8.96,4.12,4.09,0.75,0
22/09/20,18,19,C,N,N,13,3,2.94,1.14,1.13,0.56,0.12
22/09/20,18,19,C,N,N,17,4,91.17,91.17,0,0,0
22/09/20,18,19,C,N,N,21,5,7.44,4.35,2.26,0.83,0
22/09/20,18,19,C,N,N,24,6,4.5,2.61,1.26,0.63,0
29/09/20,19,20,C,N,N,2,1,10.28,4.24,4.26,1.78,0
29/09/20,19,20,C,N,N,7,2,7.61,2.96,3.44,1.21,0
29/09/20,19,20,C,N,N,13,3,1.75,0,1.12,0.43,0.2
29/09/20,19,20,C,N,N,17,4,48.46,48.21,0,0.25,0
29/09/20,19,20,C,N,N,21,5,9.06,6.55,1.84,0.66,0
29/09/20,19,20,C,N,N,24,6,3.14,1.21,1.31,0.62,0
6/10/20,20,21,C,N,N,2,1,15.72,6.46,6.42,2.85,0
6/10/20,20,21,C,N,N,7,2,5.67,0.63,2.97,2.02,0.04
6/10/20,20,21,C,N,N,13,3,1.37,0,1.07,0,0.3
6/10/20,20,21,C,N,N,17,4,55.11,55.11,0,0,0
6/10/20,20,21,C,N,N,21,5,24.24,22.39,1.37,0.49,0
6/10/20,20,21,C,N,N,24,6,3.6,0.72,1.67,1.21,0
13/10/20,21,22,C,N,N,2,1,12.83,6.64,4.42,1.77,0
13/10/20,21,22,C,N,N,7,2,2.62,0.42,1.52,0.65,0.03
13/10/20,21,22,C,N,N,13,3,1.22,0,0.68,0.54,0.01
13/10/20,21,22,C,N,N,17,4,45.85,45.85,0,0,0
13/10/20,21,22,C,N,N,21,5,23.46,22.86,0.59,0,0
13/10/20,21,22,C,N,N,24,6,2.28,0.5,1.21,0.56,0
20/10/20,22,23,C,N,N,2,1,15.96,8.83,5.7,1.44,0
20/10/20,22,23,C,N,N,7,2,1.93,0.49,0.68,0.59,0.17
20/10/20,22,23,C,N,N,13,3,3.25,0.95,0.37,1.93,0
20/10/20,22,23,C,N,N,17,4,33.97,33.97,0,0,0
20/10/20,22,23,C,N,N,21,5,26.82,26.62,0.2,0,0
20/10/20,22,23,C,N,N,24,6,3.83,1.38,1.27,0.92,0.26
27/10/20,23,24,C,N,N,2,1,17.6,9.65,6.91,1.04,0
27/10/20,23,24,C,N,N,7,2,2.03,0,0.98,0.56,0.48
27/10/20,23,24,C,N,N,13,3,0.97,0,0.86,0,0.11
27/10/20,23,24,C,N,N,17,4,31.5,31.38,0.12,0,0
27/10/20,23,24,C,N,N,21,5,15.57,13.75,1.67,0.15,0
27/10/20,23,24,C,N,N,24,6,1.7,0,1.15,0.33,0.23
3/11/20,24,25,C,N,N,2,1,22.24,9.4,10.95,1.89,0
3/11/20,24,25,C,N,N,7,2,2.18,0,1.06,0.89,0.24
3/11/20,24,25,C,N,N,13,3,1.09,0,0.89,0.12,0.08
3/11/20,24,25,C,N,N,17,4,31.24,30.8,0.43,0,0
3/11/20,24,25,C,N,N,21,5,1.74,0,1.74,0,0
3/11/20,24,25,C,N,N,24,6,2.74,0,1.29,0.91,0.53
10/11/20,25,26,C,N,N,2,1,14,4.86,8.52,0.62,0
10/11/20,25,26,C,N,N,7,2,3.71,1.36,1.16,1.04,0.15
10/11/20,25,26,C,N,N,13,3,1.12,0,1.04,0,0.08
10/11/20,25,26,C,N,N,17,4,23.4,22.8,0.51,0.09,0
10/11/20,25,26,C,N,N,21,5,1.58,0,1.58,0,0
10/11/20,25,26,C,N,N,24,6,1.56,0,1.56,0,0
17/11/20,26,27,C,N,N,2,1,24.36,7.12,16.5,0.73,0
17/11/20,26,27,C,N,N,7,2,3.49,1.53,1.1,0.79,0.08
17/11/20,26,27,C,N,N,13,3,1.44,0,1.13,0.31,0
17/11/20,26,27,C,N,N,17,4,16.56,16.03,0.54,0,0
17/11/20,26,27,C,N,N,21,5,3.75,3.35,0.07,0.33,0
17/11/20,26,27,C,N,N,24,6,1.64,0,1.64,0,0
24/11/20,27,28,C,N,N,2,1,21.54,8.28,12.79,0.48,0
24/11/20,27,28,C,N,N,7,2,2.38,0.78,1.03,0.56,0.01
24/11/20,27,28,C,N,N,13,3,1.14,0.02,0.87,0.25,0
24/11/20,27,28,C,N,N,17,4,14.78,14.59,0.19,0,0
24/11/20,27,28,C,N,N,21,5,1.61,0,1.61,0,0
24/11/20,27,28,C,N,N,24,6,1.3,0,1.29,0,0.01
1/12/20,28,29,C,N,N,2,1,23.13,7.32,14.97,0.84,0
1/12/20,28,29,C,N,N,7,2,1.19,0,1,0.18,0.01
1/12/20,28,29,C,N,N,13,3,0.63,0,0.63,0,0
1/12/20,28,29,C,N,N,17,4,16.16,16.16,0,0,0
1/12/20,28,29,C,N,N,21,5,0.71,0,0.71,0,0
1/12/20,28,29,C,N,N,24,6,0.55,0,0.55,0,0
8/12/20,29,30,C,N,N,2,1,17.72,5.41,11.66,0.65,0
8/12/20,29,30,C,N,N,7,2,1.08,0,0.88,0.2,0
8/12/20,29,30,C,N,N,13,3,2.78,1.57,0.7,0.51,0
8/12/20,29,30,C,N,N,17,4,21.44,21.44,0,0,0
8/12/20,29,30,C,N,N,21,5,1.17,0,1.17,0,0
8/12/20,29,30,C,N,N,24,6,0.91,0,0.91,0,0
15/12/20,30,31,C,N,N,2,1,22.99,3.78,18.68,0.53,0
15/12/20,30,31,C,N,N,7,2,0.92,0,0.92,0,0
15/12/20,30,31,C,N,N,13,3,0.78,0,0.74,0,0.036666667
15/12/20,30,31,C,N,N,17,4,26,26,0,0,0
15/12/20,30,31,C,N,N,21,5,1.51,0,1.51,0,0
15/12/20,30,31,C,N,N,24,6,1.43,0,1.43,0,0
22/12/20,31,32,C,N,N,2,1,24.26,2.14,21.17,0.95,0
22/12/20,31,32,C,N,N,7,2,0.93,0,0.92,0,0.013333333
22/12/20,31,32,C,N,N,13,3,1.19,0,1.01,0.03,0.153333333
22/12/20,31,32,C,N,N,17,4,31.63,31.63,0,0,0
22/12/20,31,32,C,N,N,21,5,0.74,0,0.74,0,0
22/12/20,31,32,C,N,N,24,6,0.61,0,0.61,0,0
29/12/20,32,33,C,N,N,2,1,18.92,0,17.34,1.59,0
